ds,y
2018/4/1 7:00,2738561.1
2018/4/1 8:00,2808697.283
2018/4/1 9:00,3496393.933
2018/4/1 10:00,3613247.733
2018/4/1 11:00,1973047.533
2018/4/1 12:00,2874940.167
2018/4/1 13:00,2694186.633
2018/4/1 14:00,1803970.717
2018/4/1 15:00,3540066.983
2018/4/1 16:00,2405968.833
2018/4/1 17:00,2799490.083
2018/4/1 18:00,2484816.333
2018/4/1 19:00,2604578.833
2018/4/1 20:00,3283333.932
2018/4/1 21:00,3013115.379
2018/4/1 22:00,2301984.9
2018/4/1 23:00,3502099.85
2018/4/2 0:00,4750136.949
2018/4/2 1:00,3939091.35
2018/4/2 2:00,3937426.237
2018/4/2 3:00,3111518.333
2018/4/2 4:00,3399107.967
2018/4/2 5:00,2605196.417
2018/4/2 6:00,1837463.75
2018/4/2 7:00,2620429.467
2018/4/2 8:00,2236928.583
2018/4/2 9:00,2669206
2018/4/2 10:00,3489762.35
2018/4/2 11:00,3753860.133
2018/4/2 12:00,2225993.517
2018/4/2 13:00,3331768.367
2018/4/2 14:00,2920357.867
2018/4/2 15:00,3179428.3
2018/4/2 16:00,2662329.117
2018/4/2 17:00,2624406.35
2018/4/2 18:00,4129562.6
2018/4/2 19:00,3317853.533
2018/4/2 20:00,2949712.95
2018/4/2 21:00,3232004.933
2018/4/2 22:00,3310365.5
2018/4/2 23:00,2710859.367
2018/4/3 0:00,3040705.3
2018/4/3 1:00,2841985.983
2018/4/3 2:00,4204038.808
2018/4/3 3:00,3828555.817
2018/4/3 4:00,4124816.433
2018/4/3 5:00,2923952.617
2018/4/3 6:00,3221693.7
2018/4/3 7:00,2813855.583
2018/4/3 8:00,1699963.867
2018/4/3 9:00,3729705.033
2018/4/3 10:00,2828408.6
2018/4/3 11:00,3718610.433
2018/4/3 12:00,3313286.433
2018/4/3 13:00,2847313.667
2018/4/3 14:00,1824997.2
2018/4/3 15:00,2639748.7
2018/4/3 16:00,3211164.39
2018/4/3 17:00,2453957.417
2018/4/3 18:00,4159732.729
2018/4/3 19:00,4708946.944
2018/4/3 20:00,3507163.3
2018/4/3 21:00,2577630.917
2018/4/3 22:00,2327176.833
2018/4/3 23:00,1928684.783
2018/4/4 0:00,1410015.283
2018/4/4 1:00,3298322.017
2018/4/4 2:00,3613063.317
2018/4/4 3:00,3650590.733
2018/4/4 4:00,2677298.3
2018/4/4 5:00,1456183.083
2018/4/4 6:00,2044535.683
2018/4/4 7:00,1805466.933
2018/4/4 8:00,3059375.883
2018/4/4 9:00,2762762.65
2018/4/4 10:00,3730753.817
2018/4/4 11:00,2475362
2018/4/4 12:00,3899425.213
2018/4/4 13:00,2453606.5
2018/4/4 14:00,2731132.217
2018/4/4 15:00,2676270.583
2018/4/4 16:00,2896941
2018/4/4 17:00,4587681.491
2018/4/4 18:00,4882302.75
2018/4/4 19:00,4796433.347
2018/4/4 20:00,5034735.61
2018/4/4 21:00,3348890.433
2018/4/4 22:00,3107283.833
2018/4/4 23:00,4283915.417
2018/4/5 0:00,5014544.767
2018/4/5 1:00,4893271.393
2018/4/5 2:00,4570111.383
2018/4/5 3:00,2530501.1
2018/4/5 4:00,3460140.117
2018/4/5 5:00,3071507.083
2018/4/5 6:00,2564543.95
2018/4/5 7:00,2354499.867
2018/4/5 8:00,1141473.483
2018/4/5 9:00,1462857.733
2018/4/5 10:00,1105123.967
2018/4/5 11:00,2538300
2018/4/5 12:00,2146996.833
2018/4/5 13:00,2753537.95
2018/4/5 14:00,4635746.617
2018/4/5 15:00,4021485.433
2018/4/5 16:00,3174872.883
2018/4/5 17:00,4004497.117
2018/4/5 18:00,3090450.25
2018/4/5 19:00,3563859.017
2018/4/5 20:00,2450480.305
2018/4/5 21:00,2473669.983
2018/4/5 22:00,3387442.167
2018/4/5 23:00,2319655.083
2018/4/6 0:00,2079032.35
2018/4/6 1:00,1708647.783
2018/4/6 2:00,3598300.617
2018/4/6 3:00,2508564.5
2018/4/6 4:00,2284052.183
2018/4/6 5:00,3301254.45
2018/4/6 6:00,2271778.467
2018/4/6 7:00,3821504.5
2018/4/6 8:00,1722472.5
2018/4/6 9:00,2179703.567
2018/4/6 10:00,2757632.05
2018/4/6 11:00,2278862.633
2018/4/6 12:00,2471289.467
2018/4/6 13:00,4710044.267
2018/4/6 14:00,2340940.583
2018/4/6 15:00,1763505.583
2018/4/6 16:00,1680187.917
2018/4/6 17:00,2177831.417
2018/4/6 18:00,2510665.883
2018/4/6 19:00,4005331.844
2018/4/6 20:00,3195705.436
2018/4/6 21:00,2590522.833
2018/4/6 22:00,2219100.05
2018/4/6 23:00,3144993.8
2018/4/7 0:00,2882547.5
2018/4/7 1:00,3376569.483
2018/4/7 2:00,3053071.933
2018/4/7 3:00,2930541.167
2018/4/7 4:00,1893764.05
2018/4/7 5:00,2457730.85
2018/4/7 6:00,2014446.767
2018/4/7 7:00,1689297.433
2018/4/7 8:00,936999.1333
2018/4/7 9:00,2392762.15
2018/4/7 10:00,2219964.767
2018/4/7 11:00,2562773.317
2018/4/7 12:00,1959952.9
2018/4/7 13:00,2339959.683
2018/4/7 14:00,2243988.433
2018/4/7 15:00,3074234.05
2018/4/7 16:00,3241953.661
2018/4/7 17:00,2935548.883
2018/4/7 18:00,1448369.367
2018/4/7 19:00,749733.1333
2018/4/7 20:00,2087627.567
2018/4/7 21:00,2052071.033
2018/4/7 22:00,2410469.783
2018/4/7 23:00,1918902.917
2018/4/8 0:00,1773087.017
2018/4/8 1:00,1640903.017
2018/4/8 2:00,3296517.917
2018/4/8 3:00,3283148.034
2018/4/8 4:00,2890063.467
2018/4/8 5:00,3387659.121
2018/4/8 6:00,2117070.583
2018/4/8 7:00,1550534.717
2018/4/8 8:00,1520909.717
2018/4/8 9:00,2124867.15
2018/4/8 10:00,2660515.119
2018/4/8 11:00,2113201.6
2018/4/8 12:00,1739492.617
2018/4/8 13:00,3462218.133
2018/4/8 14:00,2499686.5
2018/4/8 15:00,2145568.433
2018/4/8 16:00,2459951.678
